ID,Matricula,P1,Ano,Semestre,Semestre da disciplina
851,2018,42,2018,2,1
852,2015,10,2015,1,1
853,2013,75,2014,1,1
854,2011,73,2013,2,4
855,2017,31,2017,2,1
856,2017,47,2017,1,1
857,2018,73,2018,2,2
858,2016,54,2016,1,1
859,2011,63,2013,1,2
860,2018,66,2018,2,1
861,2017,73,2017,2,1
862,2017,54,2017,2,1
863,2014,62,2014,1,1
864,2014,6,2014,2,2
865,2014,55,2014,2,1
866,2017,46,2017,1,1
867,2014,79,2014,1,1
868,2016,65,2017,1,1
869,2018,32,2018,1,1
870,2014,81,2014,2,1
871,2014,85,2014,2,1
872,2014,48,2014,1,1
873,2017,61,2017,1,1
874,2017,26,2018,1,1
875,2010,60,2014,2,2
876,2012,73,2013,1,2
877,2018,85,2019,1,5
878,2019,14,2019,1,1
879,2014,86,2014,2,2
880,2016,87,2016,2,2
881,2012,13,2013,1,2
882,2018,9,2018,1,1
883,2012,15,2013,1,2
884,2017,48,2017,1,1
885,2016,98,2016,2,2
886,2016,35,2016,2,2
887,2018,42,2018,1,1
888,2015,98,2015,2,1
889,2017,39,2018,2,1
890,2019,8,2019,1,1
891,2014,61,2014,2,2
892,2017,64,2017,2,1
893,2015,85,2015,1,1
894,2017,44,2019,1,5
895,2011,37,2013,1,2
896,2018,31,2018,1,1
897,2018,77,2018,2,2
898,2017,22,2017,2,1
899,2016,3,2019,1,1
900,2017,76,2017,1,1
901,2015,53,2015,2,1
902,2016,15,2016,2,2
903,2013,95,2018,1,1
904,2018,73,2018,2,2
905,2014,48,2014,1,1
906,2012,60,2013,1,2
907,2012,50,2013,1,3
908,2015,68,2015,2,1
909,2017,57,2017,1,1
910,2014,70,2014,2,2
911,2017,54,2017,2,1
912,2015,55,2015,1,1
913,2011,23,2013,1,2
914,2016,51,2016,2,2
915,2018,38,2018,1,1
916,2014,67,2014,1,1
917,2018,6,2018,2,2
918,2017,46,2017,1,1
919,2017,59,2017,2,1
920,2019,46,2019,1,1
921,2012,22,2013,1,2
922,2016,98,2016,2,2
923,2014,49,2014,2,1
924,2011,20,2013,1,3
925,2016,100,2016,2,2
926,2012,40,2013,1,3
927,2012,23,2013,1,2
928,2014,82,2014,2,1
929,2018,86,2018,2,1
930,2017,57,2017,2,1
931,2016,66,2016,1,1
932,2017,6,2017,2,1
933,2010,80,2014,2,2
934,2019,9,2019,1,1
935,2017,3,2018,2,2
936,2015,82,2015,2,1
937,2011,0,2013,1,2
938,2017,45,2017,2,1
939,2010,30,2013,1,2
940,2019,35,2019,1,1
941,2011,10,2013,1,2
942,2016,9,2017,2,1
943,2019,93,2019,1,1
944,2014,0,2014,2,2
945,2015,3,2016,1,1
946,2012,60,2013,2,4
947,2018,92,2018,2,1
948,2008,38,2015,2,6
949,2016,0,2018,2,1
950,2017,73,2017,2,1
951,2015,4,2016,1,1
952,2017,9,2017,2,1
953,2016,100,2016,1,1
954,2010,3,2013,1,2
955,2014,51,2014,2,1
956,2014,87,2014,2,1
957,2014,33,2014,2,1
958,2014,100,2014,1,1
959,2017,67,2017,1,1
960,2012,0,2013,1,2
961,2018,85,2018,1,1
962,2017,63,2017,1,1
963,2018,4,2018,1,1
964,2014,22,2014,1,1
965,2015,42,2017,1,1
966,2014,92,2014,2,2
967,2016,38,2016,1,1
968,2012,52,2013,1,2
969,2015,45,2015,1,1
970,2015,48,2016,2,2
971,2019,5,2019,1,1
972,2018,100,2018,1,1
973,2017,18,2018,1,1
974,2018,14,2018,2,1
975,2015,58,2015,1,1
976,2014,75,2014,2,1
977,2018,72,2019,1,5
978,2018,2,2018,1,1
979,2018,58,2018,2,2
980,2016,85,2016,2,2
981,2011,50,2013,1,2
982,2017,35,2017,2,1
983,2015,85,2015,1,1
984,2018,74,2018,1,1
985,2017,61,2017,2,1
986,2016,41,2016,2,2
987,2017,78,2017,1,1
988,2017,39,2017,1,1
989,2017,81,2017,1,1
990,2017,54,2017,2,1
991,2018,34,2018,1,1
992,2017,79,2017,1,1
993,2018,55,2018,2,1
994,2016,91,2016,2,2
995,2014,78,2014,2,2
996,2012,0,2013,2,4
997,2015,19,2016,2,2
998,2011,100,2014,2,2
999,2016,82,2016,1,1
1000,2014,80,2014,2,2
1001,2016,66,2017,1,1
1002,2017,44,2017,2,1
1003,2018,62,2018,1,1
1004,2014,88,2014,1,1
1005,2016,76,2016,1,1
1006,2015,90,2015,1,1
1007,2017,96,2017,2,1
1008,2012,0,2013,1,2
1009,2018,88,2018,1,1
1010,2012,0,2013,1,2
1011,2016,0,2016,2,2
1012,2010,23,2013,2,6
1013,2015,58,2015,2,1
1014,2017,78,2017,2,1
1015,2017,84,2017,2,1
1016,2014,35,2014,2,2
1017,2017,51,2018,1,1
1018,2018,49,2018,1,1
1019,2017,57,2017,2,1
1020,2019,47,2019,1,1
1021,2017,71,2017,1,1
1022,2011,35,2013,1,2
1023,2018,7,2018,2,1
1024,2018,50,2018,2,2
1025,2016,79,2016,2,2
1026,2012,78,2013,1,3
1027,2014,85,2014,2,2
1028,2018,100,2018,2,1
1029,2016,50,2016,2,2
1030,2016,45,2016,2,2
1031,2015,9,2016,1,1
1032,2011,46,2013,2,6
1033,2017,7,2017,1,1
1034,2015,17,2015,1,1
1035,2018,70,2018,1,1
1036,2014,37,2014,1,1
1037,2015,31,2015,1,1
1038,2014,33,2016,2,2
1039,2018,15,2018,1,1
1040,2016,67,2016,2,2
1041,2017,58,2017,1,1
1042,2011,100,2014,2,2
1043,2016,86,2016,2,2
1044,2016,80,2016,2,2
1045,2017,62,2017,2,1
1046,2018,57,2018,2,2
1047,2009,22,2013,1,2
1048,2016,77,2016,1,1
1049,2018,89,2018,2,1
1050,2013,18,2015,2,1
1051,2018,88,2018,1,1
1052,2013,57,2014,1,1
1053,2016,69,2016,2,2
1054,2014,15,2014,2,1
1055,2015,43,2015,1,1
1056,2016,45,2018,2,2
1057,2019,4,2019,1,1
1058,2014,62,2014,2,1
1059,2017,85,2017,1,1
1060,2006,61,2013,1,2
1061,2011,0,2013,1,2
1062,2014,80,2014,2,2
1063,2018,32,2018,1,1
1064,2017,73,2017,1,1
1065,2018,100,2018,2,1
1066,2014,54,2014,1,1
1067,2017,76,2017,1,1
1068,2018,56,2018,1,1
1069,2016,88,2016,2,2
1070,2017,81,2017,2,1
1071,2018,64,2018,1,1
1072,2012,47,2013,1,3
1073,2011,56,2014,2,2
1074,2017,52,2017,1,1
1075,2017,40,2017,1,1
1076,2017,90,2017,1,1
1077,2012,35,2013,1,3
1078,2017,20,2018,2,2
1079,2016,22,2016,2,2
1080,2015,33,2015,1,1
1081,2014,85,2014,2,1
1082,2012,68,2013,1,2
1083,2012,40,2014,1,1
1084,2017,51,2017,2,1
1085,2011,50,2015,1,1
1086,2017,22,2017,1,1
1087,2017,56,2017,1,1
1088,2015,30,2015,1,1
1089,2019,63,2019,1,1
1090,2018,53,2018,1,1
1091,2017,43,2017,2,1
1092,2015,25,2015,1,1
1093,2011,84,2014,2,2
1094,2018,74,2018,1,1
1095,2017,66,2017,1,1
1096,2014,50,2014,2,1
1097,2012,50,2013,1,3
1098,2017,43,2017,1,1
1099,2015,20,2019,1,5
1100,2013,38,2014,1,1
1101,2015,90,2015,1,1
1102,2014,16,2014,1,1
1103,2018,100,2018,2,1
1104,2012,25,2013,1,2
1105,2017,97,2017,2,1
1106,2016,77,2016,2,2
1107,2018,98,2018,1,1
1108,2016,3,2017,1,1
1109,2014,96,2014,2,2
1110,2017,13,2017,1,1
1111,2016,76,2016,2,2
1112,2017,41,2017,1,1
1113,2011,65,2013,2,4
1114,2017,46,2017,1,1
1115,2016,73,2016,2,2
1116,2018,0,2018,2,1
1117,2017,9,2017,1,1
1118,2016,36,2016,1,1
1119,2018,49,2018,1,1
1120,2018,39,2018,1,1
1121,2016,58,2016,2,2
1122,2011,12,2013,1,3
1123,2014,33,2014,2,1
1124,2018,85,2018,2,2
1125,2016,6,2016,2,2
1126,2016,80,2017,2,1
1127,2015,43,2015,2,1
1128,2017,86,2017,2,1
1129,2010,46,2013,1,2
1130,2018,87,2018,1,1
1131,2015,55,2015,1,1
1132,2014,52,2014,2,2
1133,2016,48,2016,2,2
1134,2017,66,2017,1,1
1135,2016,0,2018,1,1
1136,2013,9,2014,2,1
1137,2015,32,2015,2,1
1138,2017,65,2017,1,1
1139,2014,73,2014,1,1
1140,2014,46,2014,2,2
1141,2012,99,2013,2,4
1142,2011,22,2013,1,2
1143,2016,45,2016,2,2
1144,2018,41,2018,1,1
1145,2014,97,2014,2,1
1146,2014,50,2014,1,1
1147,2018,38,2018,2,1
1148,2015,70,2015,1,1
1149,2019,39,2019,1,1
1150,2010,26,2013,2,6
1151,2012,61,2013,1,2
1152,2016,69,2016,2,2
1153,2017,48,2017,1,1
1154,2011,33,2013,1,2
1155,2017,18,2017,2,1
1156,2016,8,2018,1,1
1157,2016,8,2016,2,2
1158,2014,44,2014,1,1
1159,2014,47,2014,2,2
1160,2009,11,2013,2,4
1161,2017,64,2017,1,1
1162,2013,66,2015,2,6
1163,2018,53,2018,1,1
1164,2015,0,2015,1,1
1165,2019,48,2019,1,1
1166,2014,88,2014,2,1
1167,2017,64,2017,1,1
1168,2018,0,2018,1,1
1169,2012,100,2013,2,4
1170,2014,25,2017,1,1
1171,2011,0,2013,2,6
1172,2014,20,2014,2,1
1173,2017,5,2017,1,1
1174,2018,0,2018,2,1
1175,2014,43,2014,1,1
1176,2014,95,2014,2,1
1177,2008,28,2013,1,2
1178,2018,40,2018,1,1
1179,2017,55,2018,1,1
1180,2018,69,2018,2,2
1181,2011,91,2014,2,2
1182,2015,73,2015,1,1
1183,2011,60,2014,2,2
1184,2008,39,2013,1,2
1185,2015,44,2015,2,1
1186,2016,89,2016,2,2
1187,2012,10,2017,2,1
1188,2016,62,2016,2,2
1189,2015,40,2017,2,1
1190,2012,9,2013,1,2
1191,2016,63,2018,1,1
1192,2019,8,2019,1,1
1193,2018,19,2018,2,1
1194,2015,70,2015,2,1
1195,2016,56,2017,1,1
1196,2016,61,2016,2,2
1197,2007,25,2013,1,2
1198,2012,50,2013,1,3
1199,2012,33,2013,1,3
1200,2016,67,2016,2,2
1201,2018,8,2018,2,1
1202,2019,85,2019,1,1
1203,2015,58,2015,1,1
1204,2014,39,2014,2,2
1205,2014,0,2014,2,1
1206,2015,85,2015,1,1
1207,2015,15,2015,1,1
1208,2010,35,2013,1,3
1209,2014,79,2014,2,2
1210,2015,49,2015,2,1
1211,2017,69,2017,1,1
1212,2017,21,2017,1,1
1213,2017,7,2017,2,1
1214,2014,66,2014,2,1
1215,2016,9,2018,1,1
1216,2015,77,2015,2,1
1217,2015,74,2015,2,1
1218,2017,47,2018,1,1
1219,2010,42,2014,2,2
1220,2018,6,2018,1,1
1221,2017,0,2017,1,1
1222,2011,44,2013,1,2
1223,2016,30,2017,1,1
1224,2013,17,2014,2,1
1225,2016,88,2016,2,2
1226,2018,17,2018,1,1
1227,2016,59,2017,1,1
1228,2017,44,2018,2,1
1229,2017,74,2017,1,1
1230,2019,5,2019,1,1
1231,2017,40,2017,2,1
1232,2015,56,2015,2,1
1233,2012,26,2013,1,2
1234,2018,75,2018,2,1
1235,2011,25,2013,2,6
1236,2009,15,2013,2,4
1237,2011,29,2013,2,4
1238,2014,75,2014,1,1
1239,2011,20,2013,1,2
1240,2014,96,2014,2,2
1241,2014,50,2015,1,1
1242,2017,50,2017,2,1
1243,2019,0,2019,1,1
1244,2016,70,2016,1,1
1245,2015,75,2015,2,1
1246,2018,33,2018,2,2
1247,2015,43,2015,1,1
1248,2014,35,2014,1,1
1249,2016,74,2016,2,2
1250,2015,52,2015,2,1
1251,2019,53,2019,1,1
1252,2014,0,2015,1,1
1253,2010,1,2013,1,2
1254,2017,60,2017,1,1
1255,2017,74,2017,2,1
1256,2018,28,2018,2,2
1257,2009,14,2013,1,2
1258,2018,44,2018,1,1
1259,2018,39,2018,2,2
1260,2017,81,2017,1,1
1261,2014,17,2014,2,1
1262,2019,44,2019,1,1
1263,2019,48,2019,1,1
1264,2012,76,2015,2,6
1265,2016,13,2016,1,1
1266,2018,61,2018,1,1
1267,2014,3,2018,1,1
1268,2016,81,2016,1,1
1269,2018,84,2018,1,1
1270,2018,61,2018,2,2
1271,2012,15,2013,1,2
1272,2015,67,2015,1,1
1273,2017,57,2019,1,1
1274,2018,58,2018,2,1
1275,2010,83,2013,1,2
1276,2018,100,2018,2,1
1277,2012,95,2013,1,3
1278,2017,84,2017,1,1
1279,2014,67,2014,2,2
1280,2014,83,2014,1,1
1281,2012,55,2013,1,3
1282,2018,78,2018,1,1
1283,2012,30,2013,1,3
1284,2014,76,2014,2,2
1285,2017,55,2017,2,1
1286,2013,32,2014,2,1
1287,2017,23,2017,1,1
1288,2012,31,2013,1,2
1289,2012,38,2013,1,3
1290,2017,52,2017,2,1
1291,2012,83,2013,1,3
1292,2014,93,2014,2,1
1293,2019,76,2019,1,1
1294,2014,49,2014,2,2
1295,2018,30,2018,1,1
1296,2018,3,2018,1,1
1297,2012,39,2013,1,2
1298,2016,14,2016,2,2
1299,2012,100,2015,2,6
1300,2009,19,2015,2,6
1301,2016,84,2016,2,2
1302,2012,73,2013,1,2
1303,2017,32,2017,2,1
1304,2012,74,2013,2,4
1305,2016,6,2016,2,2
1306,2018,3,2018,1,1
1307,2018,37,2018,1,1
1308,2015,88,2015,2,1
1309,2017,71,2017,2,1
1310,2014,83,2014,2,1
1311,2018,61,2018,1,1
1312,2016,19,2019,1,1
1313,2012,0,2013,1,3
1314,2018,84,2018,1,1
1315,2012,80,2013,1,3
1316,2018,89,2018,1,1
1317,2016,83,2016,2,2
1318,2014,68,2014,2,2
1319,2017,29,2017,1,1
1320,2017,0,2017,1,1
1321,2018,43,2018,2,2
1322,2017,0,2017,2,1
1323,2015,63,2015,2,1
1324,2012,92,2013,1,3
1325,2016,4,2016,1,1
1326,2011,24,2013,2,6
1327,2014,94,2014,2,1
1328,2016,94,2016,2,2
1329,2009,29,2013,2,6
1330,2010,8,2019,1,1
1331,2019,32,2019,1,1
1332,2012,39,2013,1,2
1333,2010,37,2017,2,1
1334,2017,95,2017,1,1
1335,2017,61,2017,2,1